BHK,Rent,Size,City,Furnishing Status,Tenant Preferred,Bathroom,Floor Group
3,85000,1000,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
3,65000,1100,Mumbai,Unfurnished,Bachelors,3,Upper Floor
3,75000,1255,Mumbai,Furnished,Bachelors/Family,3,Upper Floor
1,26500,450,Mumbai,Furnished,Family,2,Upper Floor
2,45000,650,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
2,95000,955,Mumbai,Semi-Furnished,Bachelors,2,Upper Floor
2,38000,700,Mumbai,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,40000,625,Mumbai,Semi-Furnished,Bachelors,2,Lower Floor
2,85000,870,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
3,110000,1300,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
2,40000,750,Mumbai,Unfurnished,Family,2,Lower Floor
2,45000,0,Mumbai,Furnished,Bachelors,2,Lower Floor
2,52000,550,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
4,90000,1250,Mumbai,Furnished,Family,4,Lower Floor
3,140000,1400,Mumbai,Semi-Furnished,Family,3,Upper Floor
3,150000,1330,Mumbai,Semi-Furnished,Family,4,Upper Floor
3,65000,1000,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
2,50000,770,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
2,54000,800,Mumbai,Unfurnished,Family,2,Lower Floor
1,60000,550,Mumbai,Furnished,Bachelors,2,Upper Floor
2,65000,800,Mumbai,Unfurnished,Family,2,Upper Floor
2,35000,615,Mumbai,Unfurnished,Family,2,Lower Floor
2,43000,663,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
1,20000,400,Mumbai,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,57000,625,Mumbai,Furnished,Bachelors,2,Lower Floor
4,130000,1432,Mumbai,Unfurnished,Bachelors/Family,3,Upper Floor
1,25000,425,Mumbai,Unfurnished,Bachelors,1,Upper Floor
2,56000,649,Mumbai,Semi-Furnished,Bachelors,2,Lower Floor
2,55000,905,Mumbai,Unfurnished,Bachelors,2,Lower Floor
2,18000,0,Mumbai,Unfurnished,Bachelors,2,Lower Floor
3,100000,1200,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
2,76000,736,Mumbai,Unfurnished,Family,2,Lower Floor
1,45000,225,Mumbai,Unfurnished,Bachelors,1,Lower Floor
2,39000,720,Mumbai,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
1,12500,0,Mumbai,Unfurnished,Bachelors,1,Upper Floor
1,35000,0,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
2,55000,649,Mumbai,Semi-Furnished,Bachelors,2,Lower Floor
3,90000,1000,Mumbai,Furnished,Bachelors,2,Upper Floor
2,25000,0,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
2,90000,854,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,120000,1200,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
1,55000,500,Mumbai,Unfurnished,Bachelors,1,Lower Floor
3,70000,906,Mumbai,Semi-Furnished,Bachelors/Family,3,Upper Floor
2,25000,500,Mumbai,Furnished,Bachelors/Family,1,Lower Floor
1,35000,0,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
3,120000,1130,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
1,27000,0,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
1,25000,0,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
3,150000,1092,Mumbai,Semi-Furnished,Family,3,Upper Floor
2,32000,610,Mumbai,Unfurnished,Family,2,Upper Floor
1,40000,0,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
2,52000,750,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
2,80000,750,Mumbai,Furnished,Bachelors,2,Lower Floor
2,55000,850,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
1,30000,350,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
1,20000,300,Mumbai,Semi-Furnished,Bachelors/Family,1,Lower Floor
1,85000,695,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
1,40000,415,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,21000,450,Mumbai,Unfurnished,Bachelors,2,Lower Floor
3,43000,850,Mumbai,Unfurnished,Family,3,Upper Floor
2,58000,805,Mumbai,Semi-Furnished,Bachelors/Family,3,Upper Floor
2,130000,700,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
2,46000,669,Mumbai,Unfurnished,Bachelors,2,Lower Floor
1,6500,325,Mumbai,Unfurnished,Family,1,Lower Floor
1,21000,0,Mumbai,Furnished,Bachelors/Family,1,Upper Floor
2,46000,725,Mumbai,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,60000,750,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,65000,1050,Mumbai,Semi-Furnished,Bachelors,3,Upper Floor
2,15000,600,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
2,130000,1000,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,90000,1110,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
2,62000,650,Mumbai,Unfurnished,Family,2,Lower Floor
3,80000,1100,Mumbai,Unfurnished,Bachelors/Family,3,Upper Floor
3,80000,1110,Mumbai,Semi-Furnished,Bachelors/Family,3,Upper Floor
3,55000,999,Mumbai,Semi-Furnished,Family,2,Upper Floor
3,100000,1000,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
3,100000,1256,Mumbai,Furnished,Family,3,Lower Floor
2,79500,750,Mumbai,Semi-Furnished,Family,2,Upper Floor
3,84500,889,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,100000,750,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,13000,385,Mumbai,Unfurnished,Family,1,Lower Floor
4,100000,1454,Mumbai,Unfurnished,Bachelors/Family,4,Upper Floor
1,35000,480,Mumbai,Semi-Furnished,Family,2,Lower Floor
2,72000,660,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,26000,434,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,72000,1121,Mumbai,Unfurnished,Bachelors/Family,3,Lower Floor
1,8000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,130000,937,Mumbai,Furnished,Family,2,Upper Floor
1,52000,470,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,13000,410,Mumbai,Unfurnished,Family,1,Lower Floor
3,45000,850,Mumbai,Unfurnished,Family,3,Upper Floor
2,63000,888,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
1,7500,380,Mumbai,Unfurnished,Bachelors,2,Lower Floor
1,30000,360,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
1,28500,0,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
3,100000,0,Mumbai,Semi-Furnished,Bachelors/Family,4,Lower Floor
2,38000,661,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,26000,450,Mumbai,Unfurnished,Family,2,Lower Floor
3,70000,1300,Mumbai,Unfurnished,Bachelors,3,Lower Floor
2,41000,600,Mumbai,Furnished,Family,2,Lower Floor
2,27000,0,Mumbai,Semi-Furnished,Bachelors/Family,3,Ground Floor/Basement
1,53000,379,Mumbai,Semi-Furnished,Bachelors,1,Upper Floor
2,65000,805,Mumbai,Semi-Furnished,Family,3,Lower Floor
1,85000,0,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
1,6000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,43000,480,Mumbai,Furnished,Family,2,Upper Floor
2,65000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,98000,1400,Mumbai,Semi-Furnished,Family,2,Lower Floor
3,65000,1050,Mumbai,Unfurnished,Bachelors,3,Lower Floor
3,85000,920,Mumbai,Unfurnished,Family,3,Lower Floor
1,40000,450,Mumbai,Semi-Furnished,Bachelors/Family,1,Upper Floor
1,23000,440,Mumbai,Semi-Furnished,Bachelors,1,Ground Floor/Basement
3,55000,0,Mumbai,Unfurnished,Bachelors/Family,3,Lower Floor
1,15000,270,Mumbai,Unfurnished,Bachelors,2,Upper Floor
1,52000,379,Mumbai,Semi-Furnished,Bachelors,2,Upper Floor
2,13000,582,Mumbai,Furnished,Family,2,Upper Floor
2,95000,800,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,25000,444,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
1,21000,428,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
2,60000,888,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,19000,0,Mumbai,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,140000,937,Mumbai,Unfurnished,Family,4,Upper Floor
2,30000,710,Mumbai,Unfurnished,Family,2,Upper Floor
4,130000,1617,Mumbai,Semi-Furnished,Bachelors/Family,5,Lower Floor
2,80000,836,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
2,85000,1200,Mumbai,Semi-Furnished,Bachelors/Family,3,Upper Floor
2,65000,950,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
1,33000,460,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,36000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
2,22000,550,Mumbai,Furnished,Family,2,Lower Floor
1,17000,375,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
2,55000,700,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
2,66000,750,Mumbai,Unfurnished,Family,2,Lower Floor
4,140000,2000,Mumbai,Furnished,Family,4,Lower Floor
2,32000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,45000,730,Mumbai,Unfurnished,Family,2,Lower Floor
2,50000,750,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,18500,0,Mumbai,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,51000,910,Mumbai,Unfurnished,Bachelors,2,Upper Floor
4,140000,1648,Mumbai,Semi-Furnished,Bachelors/Family,5,Lower Floor
3,80000,1100,Mumbai,Unfurnished,Family,3,Upper Floor
1,30000,560,Mumbai,Unfurnished,Bachelors,2,Lower Floor
2,85000,850,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
1,15000,0,Mumbai,Unfurnished,Family,1,Lower Floor
2,50000,820,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,60000,750,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
1,23000,410,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
1,14500,490,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
2,40000,700,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
1,80000,560,Mumbai,Furnished,Bachelors/Family,1,Lower Floor
2,55000,650,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
1,12000,0,Mumbai,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,45000,850,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
2,90000,777,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
2,43000,771,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
1,22000,400,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
2,20000,600,Mumbai,Furnished,Family,2,Upper Floor
1,26000,390,Mumbai,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
1,34999,450,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
1,35000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,50000,410,Mumbai,Semi-Furnished,Bachelors/Family,1,Lower Floor
1,16000,160,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
2,55000,750,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
1,39000,0,Mumbai,Unfurnished,Family,2,Lower Floor
3,100000,1300,Mumbai,Semi-Furnished,Family,3,Lower Floor
1,25000,350,Mumbai,Furnished,Bachelors/Family,1,Lower Floor
1,25000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,49500,650,Mumbai,Unfurnished,Family,2,Lower Floor
1,21000,225,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
2,110000,850,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,21000,0,Mumbai,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,46700,800,Mumbai,Unfurnished,Family,2,Lower Floor
1,18000,0,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
3,80000,0,Mumbai,Semi-Furnished,Bachelors/Family,3,Upper Floor
2,88000,800,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,90000,890,Mumbai,Furnished,Family,2,Upper Floor
2,38000,700,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
1,20000,0,Mumbai,Semi-Furnished,Bachelors,1,Upper Floor
2,140000,900,Mumbai,Furnished,Family,2,Lower Floor
3,78000,1073,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
1,21000,0,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
3,95000,1350,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
2,90000,800,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
2,34000,600,Mumbai,Unfurnished,Bachelors,2,Upper Floor
2,55000,650,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
2,52000,550,Mumbai,Furnished,Bachelors,2,Upper Floor
1,74999,840,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
3,75000,1121,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
2,45000,650,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
1,22000,0,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
1,32000,0,Mumbai,Furnished,Bachelors/Family,1,Upper Floor
2,34000,830,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,23000,420,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,20000,310,Mumbai,Unfurnished,Bachelors,1,Ground Floor/Basement
3,90000,967,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
1,55000,505,Mumbai,Semi-Furnished,Bachelors/Family,1,Lower Floor
1,15000,0,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
2,22000,640,Mumbai,Semi-Furnished,Family,2,Upper Floor
3,60000,1500,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
2,49000,850,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,34000,900,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,24000,430,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
3,69000,1100,Mumbai,Unfurnished,Bachelors/Family,3,Lower Floor
3,120000,1200,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
2,32000,680,Mumbai,Unfurnished,Family,2,Lower Floor
2,24000,600,Mumbai,Semi-Furnished,Bachelors,2,Upper Floor
4,100000,1560,Mumbai,Unfurnished,Bachelors/Family,4,Upper Floor
2,45000,771,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
2,80000,800,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,37000,0,Mumbai,Semi-Furnished,Bachelors,2,Lower Floor
1,25000,475,Mumbai,Unfurnished,Bachelors,2,Upper Floor
1,26000,0,Mumbai,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,27000,600,Mumbai,Unfurnished,Bachelors,2,Upper Floor
1,26000,0,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
2,60000,950,Mumbai,Furnished,Bachelors,2,Lower Floor
1,12000,225,Mumbai,Unfurnished,Family,1,Upper Floor
1,30000,330,Mumbai,Furnished,Family,1,Lower Floor
3,100000,1200,Mumbai,Furnished,Bachelors/Family,3,Upper Floor
3,140000,1270,Mumbai,Semi-Furnished,Bachelors,3,Lower Floor
3,70000,920,Mumbai,Unfurnished,Bachelors/Family,3,Upper Floor
2,20000,630,Mumbai,Unfurnished,Family,2,Lower Floor
2,22000,670,Mumbai,Furnished,Family,2,Lower Floor
1,32000,0,Mumbai,Furnished,Bachelors/Family,1,Lower Floor
1,20000,0,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
2,50000,600,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
2,29000,670,Mumbai,Unfurnished,Family,2,Upper Floor
2,45000,650,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,6500,422,Mumbai,Semi-Furnished,Family,2,Upper Floor
2,55000,955,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
3,69999,1100,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
1,18500,300,Mumbai,Unfurnished,Bachelors,1,Upper Floor
2,50000,900,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,45000,785,Mumbai,Unfurnished,Bachelors,2,Lower Floor
3,85000,1350,Mumbai,Furnished,Family,3,Upper Floor
2,85000,900,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,25000,400,Mumbai,Unfurnished,Bachelors,1,Upper Floor
2,75000,800,Mumbai,Semi-Furnished,Bachelors,3,Upper Floor
1,20000,0,Mumbai,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,30000,720,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,75000,750,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
2,70000,660,Mumbai,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,32000,700,Mumbai,Furnished,Bachelors/Family,2,Ground Floor/Basement
1,22000,0,Mumbai,Unfurnished,Bachelors/Family,2,Lower Floor
2,35000,650,Mumbai,Semi-Furnished,Family,2,Upper Floor
2,47000,650,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
2,31000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,60000,430,Mumbai,Furnished,Bachelors/Family,1,Lower Floor
2,58000,650,Mumbai,Unfurnished,Family,2,Upper Floor
3,85000,890,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
2,45000,0,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
1,7500,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,150000,1100,Mumbai,Furnished,Family,3,Upper Floor
2,80000,730,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,75000,1380,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
3,66000,1100,Mumbai,Semi-Furnished,Bachelors/Family,3,Upper Floor
1,45000,450,Mumbai,Semi-Furnished,Bachelors,1,Upper Floor
1,22000,0,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
3,65000,1100,Mumbai,Semi-Furnished,Bachelors,3,Lower Floor
3,55000,868,Mumbai,Unfurnished,Family,3,Lower Floor
2,55000,750,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,36000,0,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
1,22000,450,Mumbai,Semi-Furnished,Family,2,Upper Floor
1,34000,0,Mumbai,Semi-Furnished,Bachelors,2,Lower Floor
1,45000,500,Mumbai,Unfurnished,Bachelors,1,Upper Floor
1,14000,305,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
3,75000,970,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
1,7000,480,Mumbai,Unfurnished,Bachelors/Family,1,Upper Floor
2,55000,720,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,55000,950,Mumbai,Semi-Furnished,Family,2,Upper Floor
3,140000,1450,Mumbai,Furnished,Family,3,Upper Floor
2,42000,774,Mumbai,Semi-Furnished,Family,2,Lower Floor
1,27000,0,Mumbai,Unfurnished,Family,1,Upper Floor
3,60000,1000,Mumbai,Semi-Furnished,Bachelors,3,Lower Floor
1,17000,0,Mumbai,Semi-Furnished,Bachelors/Family,1,Lower Floor
1,30000,430,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
2,45000,722,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
3,90000,1152,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
1,25000,0,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
2,70000,810,Mumbai,Furnished,Bachelors/Family,2,Lower Floor
2,90000,800,Mumbai,Furnished,Family,2,Upper Floor
2,110000,875,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
2,20000,0,Mumbai,Unfurnished,Family,2,Lower Floor
1,35000,0,Mumbai,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,80000,1400,Mumbai,Furnished,Bachelors/Family,3,Lower Floor
2,54500,758,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,45000,480,Mumbai,Furnished,Bachelors/Family,2,Upper Floor
1,38000,550,Mumbai,Unfurnished,Bachelors,2,Upper Floor
2,90000,900,Mumbai,Semi-Furnished,Bachelors,2,Upper Floor
1,22000,0,Mumbai,Unfurnished,Bachelors/Family,1,Lower Floor
2,70000,760,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,50000,400,Mumbai,Semi-Furnished,Bachelors/Family,1,Lower Floor
3,140000,1100,Mumbai,Semi-Furnished,Bachelors/Family,3,Lower Floor
2,40000,0,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,32000,590,Mumbai,Unfurnished,Family,2,Upper Floor
2,78000,600,Mumbai,Semi-Furnished,Bachelors/Family,2,Upper Floor
2,45000,670,Mumbai,Unfurnished,Bachelors/Family,2,Upper Floor
2,65000,960,Mumbai,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,65000,0,Mumbai,Semi-Furnished,Bachelors/Family,3,Upper Floor
1,35000,0,Mumbai,Semi-Furnished,Bachelors/Family,1,Lower Floor
3,90000,1120,Mumbai,Furnished,Family,2,Lower Floor
2,10500,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Upper Floor
2,13000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,17000,0,Bangalore,Furnished,Bachelors/Family,2,Upper Floor
3,21000,0,Bangalore,Semi-Furnished,Bachelors/Family,3,Lower Floor
2,10000,0,Bangalore,Furnished,Bachelors/Family,1,Upper Floor
4,61500,2608,Bangalore,Semi-Furnished,Bachelors,3,Lower Floor
2,13000,850,Bangalore,Semi-Furnished,Family,2,Lower Floor
1,7500,0,Bangalore,Unfurnished,Bachelors/Family,1,Lower Floor
2,17000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,25000,1350,Bangalore,Semi-Furnished,Bachelors,3,Lower Floor
2,10500,800,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,8000,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Upper Floor
1,9500,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,50000,2000,Bangalore,Semi-Furnished,Bachelors/Family,3,Lower Floor
2,13000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,13500,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,13000,700,Bangalore,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
1,15000,0,Bangalore,Semi-Furnished,Bachelors,1,Lower Floor
2,15000,0,Bangalore,Furnished,Bachelors/Family,3,Ground Floor/Basement
1,7000,0,Bangalore,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,25000,0,Bangalore,Furnished,Bachelors/Family,2,Lower Floor
2,17000,900,Bangalore,Semi-Furnished,Family,2,Lower Floor
1,7500,0,Bangalore,Furnished,Bachelors/Family,1,Ground Floor/Basement
2,15000,0,Bangalore,Unfurnished,Bachelors/Family,2,Lower Floor
1,7500,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Lower Floor
3,25000,0,Bangalore,Furnished,Bachelors/Family,3,Ground Floor/Basement
3,54000,1750,Bangalore,Semi-Furnished,Bachelors/Family,3,Lower Floor
1,14500,600,Bangalore,Semi-Furnished,Bachelors,1,Lower Floor
1,4500,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,10500,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Upper Floor
1,5500,0,Bangalore,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,16000,600,Bangalore,Unfurnished,Bachelors,2,Lower Floor
1,7000,0,Bangalore,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,12500,0,Bangalore,Furnished,Bachelors/Family,2,Ground Floor/Basement
2,10000,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,18000,1045,Bangalore,Semi-Furnished,Bachelors,2,Lower Floor
3,28000,1021,Bangalore,Furnished,Bachelors,3,Upper Floor
3,12000,0,Bangalore,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,13000,1000,Bangalore,Unfurnished,Bachelors/Family,1,Lower Floor
2,50000,1280,Bangalore,Furnished,Bachelors/Family,2,Lower Floor
1,7000,450,Bangalore,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,30000,0,Bangalore,Unfurnished,Bachelors/Family,2,Upper Floor
1,10000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Upper Floor
2,15000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,7500,0,Bangalore,Unfurnished,Bachelors/Family,1,Lower Floor
3,45000,0,Bangalore,Semi-Furnished,Bachelors/Family,3,Lower Floor
3,65000,2000,Bangalore,Semi-Furnished,Bachelors,3,Upper Floor
1,12000,500,Bangalore,Semi-Furnished,Bachelors,1,Lower Floor
1,7000,500,Bangalore,Semi-Furnished,Bachelors,1,Upper Floor
1,9000,0,Bangalore,Unfurnished,Bachelors/Family,1,Upper Floor
2,23000,0,Bangalore,Semi-Furnished,Family,2,Upper Floor
2,30000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,8000,500,Bangalore,Unfurnished,Bachelors/Family,1,Upper Floor
2,16000,0,Bangalore,Semi-Furnished,Family,2,Upper Floor
1,7500,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,20000,1040,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
4,110000,2900,Bangalore,Furnished,Bachelors,4,Lower Floor
3,30000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,20000,0,Bangalore,Semi-Furnished,Family,3,Upper Floor
2,17000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,15000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,6000,0,Bangalore,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,16000,950,Bangalore,Furnished,Bachelors/Family,3,Upper Floor
2,9500,530,Bangalore,Semi-Furnished,Bachelors/Family,1,Lower Floor
1,8000,300,Bangalore,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,15000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
1,12000,0,Bangalore,Unfurnished,Bachelors/Family,1,Upper Floor
1,10000,600,Bangalore,Semi-Furnished,Bachelors,1,Ground Floor/Basement
2,16000,0,Bangalore,Unfurnished,Bachelors/Family,2,Lower Floor
1,11000,0,Bangalore,Unfurnished,Bachelors/Family,1,Lower Floor
2,11000,0,Bangalore,Unfurnished,Bachelors/Family,2,Lower Floor
2,20000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,24000,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Upper Floor
2,14500,0,Bangalore,Semi-Furnished,Bachelors/Family,2,Lower Floor
